LC726080.1	β.1.1.2.17
KY905334.1	β.1.1.2.16
JN400611.1	β.1.1.2.3
PP267298.1	β.1.1.3.1
MN588301.1	β.1.1.2.2
PQ336849.1	β.1.1.3.1
OM373210.1	β.1.1.2.2
OP805363.1	β.1.1.3.1
KM198523.1	β.1.1.2.3
LC122854.1	β.1.1.1.2
KY424345.1	β.1.3.1.6
OK376263.1	β.1.1.2.17
PZ053845.1	β.1.1.3.1
OR536468.1	β.1.1.2.5
PP550081.1	β.3.1
MH260502.1	β.1.1.2.4
LC790070.1	β.1.1.2.4
KY934262.1	β.2.2.1.3
MH218699.1	β.1.1.2.2
KC175323.1	β.1.1.2.2
MN996300.1	β.1.1.3.1
OP690505.1	β.1.1.5.1
OM372484.1	β.1.1.2.16
MT409885.1	β.1.1.2.16
OP727606.1	β.1.1.2.3
KC175398.1	β.1.1.2.3
AB541288.1	β.1.1.2.3
EF670650.2	β.1.3.1.4
MT357995.1	β.2.1.3.1
MW305629.1	β.1.1.2.8
KT202796.1	β.1.1.2.2
PQ195900.1	β.1.1.2.4
MF405169.1	β.1.1.14
PX700448.1	β.1.1.3.1
KC409284.1	β.1.1.2.3
MZ546180.1	β.1.1.2.2
AB933740.1	β.1.1.2.3
AB541263.1	β.1.1.2.3
LC122705.1	β.2.3.1.2
AB541211.1	β.1.1.2.3
PV765583.1	β.1.1.3.1
MW305523.1	β.1.3.1.5
LC744873.1	β.1.1.2.2
MN394542.1	β.1.1.2.17
MW019622.1	β.1.1.2.46
MH260501.1	β.1.1.2.17
PQ195917.1	β.1.1.2.18
OR267350.1	β.2.1.3.1
KC464498.1	β.1.1.2.6
JX126912.1	β.1.1.2.3
PP550069.1	β.3.1
PQ308689.1	β.1.1.3.1
LC122718.1	β.2.2.1.1
MT364242.1	β.1.3.1.3
MK756037.1	β.1.1.2.4
LC209476.1	β.1.1.2.9
OL685297.1	β.1.2
MW661271.1	β.1.1.2.31
LC769681.1	β.1.1.2.2
OP162340.1	β.2.1.3.1
LC122930.1	β.1.3.1.7
MN308015.1	β.1.1.2.2
MH638228.1	β.2.1.5.2
AB972466.1	β.1.1.2.2
PP825703.1	β.1.1.2.24
KY225989.1	β.1.1.9
KU561253.1	β.1.1.3.1
MH747479.1	β.1.1.3.1
MH218585.1	β.1.1.2.5
MW305711.1	β.1.1.2.38
LC122881.1	β.1.3.1.4
MK616561.1	β.1.1.2.10
MW305667.1	β.1.3.1.4
MT372463.1	β.2.2.1.9
AY772730.1	β.1.1.2.44
MH218736.1	β.1.1.1.1
LC726085.1	β.1.1.2.17
MG746023.1	β.1.1.2.17
PV605297.1	β.3.2.2
LC122896.1	β.1.3.1.10
LC122886.1	β.1.3.1.8
MK764042.1	β.1.1.2.17
MT008458.1	β.2.3.3.2
OQ552770.1	β.3.1
LC145804.1	β.1.1.2.9
PX458228.1	β.2.1.1
LC790069.1	β.1.1.2.4
MG572730.1	β.1.1.6.1
KJ196290.1	β.1.2
LC145789.1	β.1.1.2.9
MT357992.1	β.2.1.5.1
KM198484.1	β.1.1.2.5
MW305493.1	β.2.2.5
PP550068.1	β.3.1
OP037979.1	β.1.1.2.4
MW810333.1	β.4.2.1
MW261790.1	β.1.2
OP205554.1	β.1.1.2.1
OR463468.1	β.1.1.2.17
LC122839.1	β.1.1.2.7
AB933728.1	β.1.1.2.21
MG745996.1	β.1.1.2.17
PP550058.1	β.3.1
LC122903.1	β.1.3.1.3
KJ407074.2	β.1.1.2.7
PQ195897.1	β.1.1.2.4
MW661266.1	β.1.1.2.31
PV282529.1	β.1.3.1.10
OQ848746.1	β.1.4.2.1
LC122757.1	β.1.1.2.16
OR536491.1	β.1.1.2.5
PQ196516.1	β.1.1.2.4
MK775029.1	β.1.1.1.1
MT242487.1	β.1.1.2.8
MH260505.1	β.1.1.2.4
LC122902.1	β.1.3.1.3
PQ215524.1	β.1.1.2.4
MF973199.1	β.3.5
MH702286.1	β.1.3.1.3
LC122696.1	β.2.1.3.3
MH702281.1	β.1.1.2.38
JX989075.1	β.1.3.1.7
LN854569.1	β.1.1.2.5
MN447470.1	β.1.1.2.28
PX458230.1	β.2.1.1
JN975494.1	β.3.1
MW305618.1	β.1.3.1.3
LC122907.1	β.1.3.1.3
