Sequence-2606	MW-VP7-L10
Sequence-2268	MW-VP7-L2
Sequence-4467	MW-VP7-L14
Sequence-2135	MW-VP7-L3
Sequence-5470	MW-VP7-L26
Sequence-4206	MW-VP7-L14
Sequence-5142	MW-VP7-L22
Sequence-2245	MW-VP7-L2
Sequence-2323	MW-VP7-L5
Sequence-2115	MW-VP7-L1
Sequence-4316	MW-VP7-L14
Sequence-2749	MW-VP7-L6
Sequence-2250	MW-VP7-L2
Sequence-5112	MW-VP7-L22
Sequence-2242	MW-VP7-L2
Sequence-5090	MW-VP7-L22
Sequence-5665	MW-VP7-L27
Sequence-5687	MW-VP7-L29
Sequence-2782	MW-VP7-L11
Sequence-5709	MW-VP7-L27
Sequence-5623	MW-VP7-L27
Sequence-4713	MW-VP7-L17
Sequence-4222	MW-VP7-L15
Sequence-5676	MW-VP7-L27
Sequence-2196	MW-VP7-L3
Sequence-2254	MW-VP7-L2
Sequence-4268	MW-VP7-L14
Sequence-2079	MW-VP7-L1
Sequence-2175	MW-VP7-L3
Sequence-4458	MW-VP7-L15
Sequence-4273	MW-VP7-L14
Sequence-4306	MW-VP7-L15
Sequence-5101	MW-VP7-L22
Sequence-2081	MW-VP7-L1
Sequence-5050	MW-VP7-L22
Sequence-4250	MW-VP7-L15
Sequence-2694	MW-VP7-L6
Sequence-4301	MW-VP7-L15
Sequence-2771	MW-VP7-L11
Sequence-4756	MW-VP7-L17
Sequence-2101	MW-VP7-L1
Sequence-2207	MW-VP7-L1
Sequence-2639	MW-VP7-L6
Sequence-5222	MW-VP7-L24
Sequence-5009	MW-VP7-L21
Sequence-2131	MW-VP7-L3
Sequence-2130	MW-VP7-L3
Sequence-2223	MW-VP7-L4
Sequence-5590	MW-VP7-L27
Sequence-5568	MW-VP7-L26
Sequence-4987	MW-VP7-L20
Sequence-4833	MW-VP7-L17
Sequence-2276	MW-VP7-L4
Sequence-2848	MW-VP7-L11
Sequence-4877	MW-VP7-L17
Sequence-2683	MW-VP7-L6
Sequence-4648	MW-VP7-L17
Sequence-5459	MW-VP7-L26
Sequence-5437	MW-VP7-L25
Sequence-2334	MW-VP7-L6
Sequence-4998	MW-VP7-L20
Sequence-5612	MW-VP7-L28
Sequence-2881	MW-VP7-L11
Sequence-4976	MW-VP7-L19
Sequence-2279	MW-VP7-L4
Sequence-2826	MW-VP7-L11
Sequence-4243	MW-VP7-L16
Sequence-2503	MW-VP7-L8
Sequence-4712	MW-VP7-L18
Sequence-2562	MW-VP7-L9
Sequence-2312	MW-VP7-L5
Sequence-2969	MW-VP7-L13
Sequence-2491	MW-VP7-L5
Sequence-5448	MW-VP7-L25
Sequence-5525	MW-VP7-L26
Sequence-3024	MW-VP7-L13
Sequence-2837	MW-VP7-L12
Sequence-5193	MW-VP7-L23
Sequence-5546	MW-VP7-L26
Sequence-2947	MW-VP7-L13
Sequence-5698	MW-VP7-L29
Sequence-2903	MW-VP7-L13
Sequence-2442	MW-VP7-L7
Sequence-2936	MW-VP7-L13
