PP926321.1	AStV-32.1.3
MK286562.1	AStV-32.1.5
LN879482.1	AStV-32.1.4
KY859988.1	AStV-32.1.1
LT706530.1	AStV-32.1.2
LT706531.1	AStV-32.1.2
KT956903.2	AStV-32.1.1
