MW784084.1	AStV-19.2
MW784102.1	AStV-19.1.3
OP413958.1	AStV-19.1.4
PP871787.1	AStV-19.5
KY940075.1	AStV-19.9
PX137031.1	AStV-19.7
PP871721.1	AStV-19.3
PX137037.1	AStV-19.1.1
PP871745.1	AStV-19.4
PX137030.1	AStV-19.7
PX137032.1	AStV-19.8
PP871788.1	AStV-19.6
LC900359.1	AStV-19.1.2
