NC_011502.2	N5
OR192584.1	N1
OR192595.1	N1
OR192604.1	N1
OR192609.1	N1
OQ807046.1	N2
OR127195.1	N1
LC727732.1	N2
LC727983.1	N2
OQ333053.1	N1
OQ603395.1	N2
OQ743753.1	N1
OP886869.1	N1
OP947215.1	N3
ON191757.1	N2
OP487306.1	N2
OQ440166.1	N1
OQ440178.1	N1
OQ440192.1	N1
OQ440203.1	N1
OQ440218.1	N1
ON745825.1	N2
MT163186.1	N1
MT163208.1	N2
MT163219.1	N2
ON711391.1	N2
ON676176.1	N1
OP971571.1	N1
OP963643.1	N3
ON092395.1	N1
ON092397.1	N1
ON092400.1	N1
ON092401.1	N1
ON092402.1	N1
ON092403.1	N1
ON191603.1	N2
OM362100.1	N1
OL988929.1	N2
OL988941.1	N2
OL988953.1	N2
OL988965.1	N2
OL988977.1	N2
OL988989.1	N2
OL989001.1	N2
OL989013.1	N1
OM212046.1	N2
MW331509.1	N3
OP680463.1	N2
OK651106.1	N2
MZ848151.1	N2
MZ848152.1	N2
MZ848153.1	N2
MZ848154.1	N2
ON792149.1	N1
ON792170.1	N1
OK651108.1	N3
OK651109.1	N3
ON221578.1	N3
MW720863.1	N3
MW720874.1	N3
ON012970.1	N2
LC684241.1	N2
ON989009.1	N1
MW752845.1	N2
OM416836.1	N2
OM982708.1	N1
OM982731.1	N1
OM982753.1	N1
OM982765.1	N1
OM982782.1	N1
OM982783.1	N1
OM982784.1	N1
OM982801.1	N1
MW575224.1	N1
ON059884.1	N3
ON059885.1	N3
ON059886.1	N3
ON059887.1	N3
ON059888.1	N3
MW771125.1	N2
MW771136.1	N2
MW771158.1	N2
MW771169.1	N2
MZ065648.1	N2
MZ065923.1	N2
MZ065978.1	N2
MZ065989.1	N2
MZ066121.1	N2
MZ066143.1	N1
MZ066242.1	N2
OM105043.1	N1
MT276810.1	N2
MZ094144.1	N2
MZ094453.1	N1
MZ094596.1	N1
MZ094684.1	N1
MZ095033.1	N1
MZ095176.1	N1
MZ095920.1	N1
LC600816.1	N1
MW280875.1	N1
MT784839.1	N1
MT784844.1	N1
MT784846.1	N1
MW292236.1	N2
MT501459.1	N2
MN479633.1	N2
MN479634.1	N1
MN479705.1	N1
MN479714.1	N2
LC569887.1	N1
LC569898.1	N1
MK376888.1	N2
LC569649.1	N2
MT364831.1	N2
LC576615.1	N3
MT025854.1	N1
MT025876.1	N1
MT025898.1	N1
MT025920.1	N1
MT066208.1	N1
MT271032.1	N1
MT410491.1	N2
MT232580.1	N2
MT232591.1	N2
MN649752.1	N2
MN649753.1	N2
MN649754.1	N2
MN649755.1	N2
MN649756.1	N2
MN649757.1	N2
MN649758.1	N2
MN649759.1	N2
MN649760.1	N2
MN649761.1	N2
MN551967.1	N1
LC553602.1	N2
MN481637.1	N4
LC528248.1	N9
MN528096.1	N3
MN528110.1	N3
MN433624.1	N3
MN365908.1	N6
MN365941.1	N6
MN223984.1	N1
MN223985.1	N1
MN223991.1	N1
MN223997.1	N1
MN223998.1	N1
MN067440.1	N2
MN102372.1	N1
MN626417.1	N2
MK272881.1	N3
MK272883.1	N3
MN556673.1	N1
MK936377.1	N1
MK936379.1	N1
MK936380.1	N1
MK936381.1	N1
MK638877.1	N2
MK597967.1	N1
MK692884.1	N4
MH267279.1	N1
MH308726.1	N1
MH182453.1	N2
MH697620.1	N1
MH697631.1	N1
MK953579.1	N1
MK250431.1	N2
MN066761.1	N1
MN066871.1	N2
MN066952.1	N2
MK227394.1	N1
MK227405.1	N2
MK167199.1	N1
LC438930.1	N2
MG926764.1	N2
LC460422.1	N2
MK751429.1	N2
LC469535.1	N2
MK026442.1	N1
MH898994.1	N1
MK410290.1	N1
LC433781.1	N1
LC433792.1	N1
LC467819.1	N2
LC467830.1	N2
LC467885.1	N2
MH624169.1	N1
LC173764.1	N2
MH238099.1	N1
MH238100.1	N1
MH238101.1	N1
MH238103.1	N1
MH238104.1	N1
MH238105.1	N1
MH238107.1	N1
MH238109.1	N1
MH238110.1	N1
MH238113.1	N1
