PX137033.1	AStV-4.6.2
OP413953.1	AStV-4.6.7
LC900400.1	AStV-4.20
MT451918.1	AStV-4.30.1
PX137050.1	AStV-4.43.3
PP871766.1	AStV-4.51
LC201610.1	AStV-4.13.2
NC_016896.1	AStV-4.1
KY933398.1	AStV-4.7
MW784073.1	AStV-4.24.3
PX137029.1	AStV-4.6.9
NC_023675.1	AStV-4.2.2
LC900376.1	AStV-4.16
LC900346.1	AStV-4.15
MT549855.1	AStV-4.32
KX060809.1	AStV-4.6.1
PX137044.1	AStV-4.58
OP413951.1	AStV-4.5.2
LC201606.1	AStV-4.11.1
PX137036.1	AStV-4.6.4
PX137030.1	AStV-4.56
PX137053.1	AStV-4.43.3
OP413944.1	AStV-4.44
PP871790.1	AStV-4.54
PX137041.1	AStV-4.6.6
ON792967.1	AStV-4.2.11
LC201605.1	AStV-4.10
PX137047.1	AStV-4.43.3
MW784096.1	AStV-4.38
ON792971.1	AStV-4.2.10
MW784071.1	AStV-4.35
ON792969.1	AStV-4.2.8
MT470220.1	AStV-4.31
MT642666.1	AStV-4.33
KU764485.1	AStV-4.3
PX137046.1	AStV-4.2.7
MW784070.1	AStV-4.34
MW784101.1	AStV-4.39
OP413954.1	AStV-4.45
LC201612.1	AStV-4.13.2
MW784090.1	AStV-4.37
PP871731.1	AStV-4.49
PX137040.1	AStV-4.6.3
LC900386.1	AStV-4.18
LC900458.1	AStV-4.2.4
MW784074.1	AStV-4.36
LC900397.1	AStV-4.12.1
OP413961.1	AStV-4.47
LC900453.1	AStV-4.13.1
OP413965.1	AStV-4.48
PX137038.1	AStV-4.43.2
PX137035.1	AStV-4.6.5
PX137049.1	AStV-4.43.1
KX060808.1	AStV-4.5.1
JF713713.1	AStV-4.2.2
OL695850.1	AStV-4.42
OP413957.1	AStV-4.43.4
LC900463.1	AStV-4.25
ON792968.1	AStV-4.2.9
PV089623.1	AStV-4.2.5
JX556692.1	AStV-4.2.15
KX033447.1	AStV-4.4
KU764486.1	AStV-4.3
PX137034.1	AStV-4.43.1
LC201602.1	AStV-4.2.3
LC201613.1	AStV-4.14
LC900398.1	AStV-4.19
OP413942.1	AStV-4.43.1
OL695848.1	AStV-4.40
PX137043.1	AStV-4.2.12
KY940075.1	AStV-4.8
MK987099.1	AStV-4.29
ON792970.1	AStV-4.2.6
OP413959.1	AStV-4.46
PV089622.1	AStV-4.55
LC900438.1	AStV-4.23
PX137042.1	AStV-4.6.8
KU764484.1	AStV-4.3
LC900475.1	AStV-4.26
PX137039.1	AStV-4.57
MK613068.1	AStV-4.28
LC900393.1	AStV-4.2.13
PP871775.1	AStV-4.53
PX137027.1	AStV-4.43.1
MH425243.1	AStV-4.27
LC900416.1	AStV-4.22
LC900401.1	AStV-4.21
JQ340310.1	AStV-4.1
LC900395.1	AStV-4.12.1
OL695849.1	AStV-4.41
PP871761.1	AStV-4.50
MK378475.1	AStV-4.24.1
LC900442.1	AStV-4.24.2
PP871749.1	AStV-4.11.2
LC201603.1	AStV-4.9
PP871769.1	AStV-4.52
PX137031.1	AStV-4.56
MK460231.1	AStV-4.24.4
LC201611.1	AStV-4.13.2
LC201604.1	AStV-4.2.14
ON792972.1	AStV-4.2.1
LC900377.1	AStV-4.17
MT451917.1	AStV-4.30.2
LC201609.1	AStV-4.12.2
