OL874469.1	AStV-8.1.7
MT491731.1	AStV-8.1.4
MT789781.1	AStV-8.1.5
OR571426.1	AStV-8.1.8
MW684830.1	AStV-8.1.1
MT789787.1	AStV-8.1.15
OM469244.1	AStV-8.1.10
OM469245.1	AStV-8.1.10
JF832365.1	AStV-8.1.14
KX397575.1	AStV-8.1.9
MT789783.1	AStV-8.1.3
OL874470.1	AStV-8.1.12
KY038163.1	AStV-8.1.6
KX397576.1	AStV-8.1.9
MW846319.1	AStV-8.1.11
MT491730.1	AStV-8.1.4
OR286522.1	AStV-8.1.8
MT789774.1	AStV-8.1.5
MT789784.1	AStV-8.1.3
MT789779.1	AStV-8.1.5
OM469239.1	AStV-8.1.1
MT789775.1	AStV-8.1.5
MW684817.1	AStV-8.1.1
MT491732.1	AStV-8.1.4
OL874468.1	AStV-8.1.12
OR351273.1	AStV-8.1.2
OR286521.1	AStV-8.1.8
MT789782.1	AStV-8.1.3
MT789786.1	AStV-8.1.3
PP871812.1	AStV-8.5
OR286520.1	AStV-8.1.8
MT789778.1	AStV-8.1.5
MW684823.1	AStV-8.1.1
PP871804.1	AStV-8.4
MT789785.1	AStV-8.1.3
JF414802.1	AStV-8.1.13
OM469242.1	AStV-8.1.1
MT789780.1	AStV-8.1.5
OM469238.1	AStV-8.1.1
KT886453.1	AStV-8.2
MT789777.1	AStV-8.1.5
OM469240.1	AStV-8.1.1
MT789776.1	AStV-8.1.5
MW684831.1	AStV-8.1.1
OQ685946.1	AStV-8.3
MZ367372.1	AStV-8.1.1
