OM105035.1	AStV-24.4
LC900374.1	AStV-24.2
PX137009.1	AStV-24.5
PX137010.1	AStV-24.6
KF787112.3	AStV-24.1
PX137011.1	AStV-24.7
LC900380.1	AStV-24.2
OL689632.1	AStV-24.3
LC900375.1	AStV-24.2
GQ914773.1	AStV-24.8
NC_025379.2	AStV-24.1
