KC822940.1	𝜸.44.8
KX655480.1	𝜸.8.5
ON791959.1	𝜸.4.1
LC173687.1	𝜸.4.1
LC119100.1	𝜸.52.1
LC460228.1	𝜸.10.4
KJ753015.1	𝜸.4.1
KM026658.1	𝜸.4.9
JX195081.1	𝜸.4.1
KJ753154.1	𝜸.4.1
MN552142.1	𝜸.8.1
LC133543.1	𝜸.34.2
ON092401.1	𝜸.4.92
LC086787.1	𝜸.8.1
MH697631.1	𝜸.4.77
AB924102.1	𝜸.4.118
KJ626531.1	𝜸.4.9
JF490403.1	𝜸.4.9
KX536640.1	𝜸.8.1
MT410491.1	𝜸.7.2
FJ947215.1	𝜸.4.14
KX171463.1	𝜸.8.1
LC514488.1	𝜸.8.1
LC460217.1	𝜸.10.1
GU983677.1	𝜸.30.1
KC579549.1	𝜸.21
KJ820876.1	𝜸.6.1
KC174862.1	𝜸.4.18
KU962135.1	𝜸.7.12
JF781165.1	𝜸.4.48
KU597751.1	𝜸.49.2
KJ870907.1	𝜸.45.6
JQ715664.1	𝜸.29.1
MW771147.1	𝜸.7.12
LC133521.1	𝜸.8.8
LC277162.1	𝜸.66
KJ627085.1	𝜸.4.6
FJ495134.1	𝜸.12.7
HM773828.1	𝜸.4.9
JX682999.1	𝜸.13.1
MN551605.1	𝜸.78
KF447857.1	𝜸.4.15
LC173587.1	𝜸.13.1
KP645285.1	𝜸.4.14
KX632294.1	𝜸.4.8
KJ559268.1	𝜸.4.12
MT723902.1	𝜸.7.2
MZ094629.1	𝜸.4.8
KC579626.1	𝜸.4.4
KM660135.1	𝜸.8.5
MT410480.1	𝜸.7.2
MN479600.1	𝜸.8.5
KX024674.1	𝜸.12.4
MT410469.1	𝜸.7.2
MH060095.1	𝜸.7.2
JX683627.1	𝜸.4.119
KC155674.1	𝜸.4.14
AB748593.1	𝜸.7.3
KM026648.1	𝜸.4.9
JN651836.1	𝜸.13.1
KJ482286.1	𝜸.6.4
KC822936.1	𝜸.4.14
OQ333053.1	𝜸.39.1
MT025920.1	𝜸.4.88
KR632627.1	𝜸.54
KP882930.1	𝜸.19.3
KT695012.1	𝜸.4.16
KP752978.1	𝜸.4.8
AB924113.1	𝜸.9.1
KF729668.1	𝜸.7.3
KP753117.1	𝜸.6.13
MK272881.1	𝜸.15.1
OK651109.1	𝜸.49.10
MF184794.1	𝜸.8.5
HQ343350.1	𝜸.4.25
KC175046.1	𝜸.4.18
KJ751753.1	𝜸.4.8
KC579527.1	𝜸.4.49
KY657936.1	𝜸.8.3
MH301209.1	𝜸.4.8
KJ412706.1	𝜸.4.12
KF690132.1	𝜸.18.2
KC579922.1	𝜸.4.4
AB779638.1	𝜸.4.85
AB733137.2	𝜸.5.2
KP188815.1	𝜸.8.5
JN706599.1	𝜸.37.1
MH267279.1	𝜸.4.125
KF577845.1	𝜸.7.34
KT695133.1	𝜸.4.14
KM026620.1	𝜸.4.115
AB771755.1	𝜸.5.1
JQ423898.1	𝜸.4.50
MG181311.1	𝜸.4.12
KJ559025.1	𝜸.13.1
LC055554.1	𝜸.8.6
KM820670.1	𝜸.4.10
KM230943.1	𝜸.4.11
KJ753688.1	𝜸.4.81
MT364831.1	𝜸.7.22
KU360993.1	𝜸.50
KJ187595.1	𝜸.7.9
JN706616.1	𝜸.4.56
MG181355.1	𝜸.4.12
ON989009.1	𝜸.27.8
MZ065989.1	𝜸.52.2
GU199499.1	𝜸.28
GU933624.1	𝜸.7.12
JN128993.1	𝜸.4.91
OQ981106.1	𝜸.89
KC175221.1	𝜸.4.112
KJ412782.1	𝜸.4.6
KJ482289.1	𝜸.6.26
OP971571.1	𝜸.45.4
KM026611.1	𝜸.4.16
FJ947778.1	𝜸.4.4
FJ947204.1	𝜸.4.4
LC133576.1	𝜸.34.2
KM026614.1	𝜸.44.1
KJ482290.1	𝜸.4.60
OL989001.1	𝜸.12.2
MN649757.1	𝜸.7.20
KF636252.1	𝜸.7.21
LC173597.1	𝜸.13.1
KC174961.1	𝜸.4.32
MH238117.1	𝜸.6.2
KX212883.1	𝜸.19.14
JX442795.1	𝜸.8.13
KT934655.1	𝜸.55.4
KX363374.1	𝜸.4.5
OM643795.1	𝜸.7.3
MF940618.1	𝜸.4.13
FJ947767.1	𝜸.4.4
LC095906.1	𝜸.4.74
EF554122.1	𝜸.19.12
KJ753657.1	𝜸.4.64
KJ940158.1	𝜸.19.10
KX363285.1	𝜸.4.133
KF447846.1	𝜸.4.15
OP924562.1	𝜸.44.1
KU714440.1	𝜸.4.30
KX988271.1	𝜸.45.2
KC610707.1	𝜸.6.11
MT796861.1	𝜸.7.12
ON711391.1	𝜸.83
EF990692.1	𝜸.4.7
KF371737.1	𝜸.4.56
EF672566.1	𝜸.12.6
KY657938.1	𝜸.8.3
EU753970.1	𝜸.4.3
KJ626792.1	𝜸.4.6
AB924091.1	𝜸.6.33
HG513052.1	𝜸.4.54
KJ482276.1	𝜸.6.21
JF796719.1	𝜸.4.129
MN365941.1	𝜸.24.2
MT276810.1	𝜸.22
KJ482277.1	𝜸.4.43
KC175177.1	𝜸.4.32
KY113343.1	𝜸.33.2
JF304922.1	𝜸.8.19
KU360989.1	𝜸.50
KX363439.1	𝜸.4.74
MG214333.1	𝜸.19.10
OL988953.1	𝜸.34.3
OK872256.1	𝜸.4.16
JQ713649.1	𝜸.13.5
FJ347118.1	𝜸.7.31
MN066952.1	𝜸.19.7
KM026605.1	𝜸.6.1
FN665683.1	𝜸.19.12
KC847042.1	𝜸.4.11
KJ412673.1	𝜸.37.1
JX416223.1	𝜸.13.4
MT271032.1	𝜸.6.5
JF896472.1	𝜸.7.4
KC610696.1	𝜸.45.1
LC600816.1	𝜸.4.82
MH238107.1	𝜸.6.15
KC113255.1	𝜸.4.77
JX402797.1	𝜸.2.11
KX814938.1	𝜸.63
HQ343362.1	𝜸.13.3
LC704671.1	𝜸.70.1
MH568752.1	𝜸.55.5
AB971561.1	𝜸.5.1
KJ627145.1	𝜸.4.12
KC580364.1	𝜸.4.16
KX185125.1	𝜸.59.1
ON676176.1	𝜸.4.141
KR262156.1	𝜸.37.1
KC020027.1	𝜸.29.3
KC174895.1	𝜸.4.18
KJ454635.1	𝜸.4.6
MN528096.1	𝜸.49.1
MK936380.1	𝜸.6.10
KJ482293.1	𝜸.6.3
JN831216.1	𝜸.7.21
HQ343375.1	𝜸.4.56
MN626417.1	𝜸.12.10
MZ848154.1	𝜸.7.23
KC174873.1	𝜸.4.18
MH238121.1	𝜸.6.2
MN649759.1	𝜸.7.29
MZ066198.1	𝜸.52.2
OR127195.1	𝜸.4.131
LC088103.1	𝜸.43.1
KX814928.1	𝜸.49.3
KP882435.1	𝜸.7.10
LC095928.1	𝜸.27.1
MK936377.1	𝜸.6.2
MN066871.1	𝜸.76
MN528109.1	𝜸.77
LC576615.1	𝜸.68
OM982765.1	𝜸.4.44
ON792149.1	𝜸.4.28
KU739943.1	𝜸.4.71
OM450985.1	𝜸.7.28
KC020034.2	𝜸.29.2
JN827252.1	𝜸.7.4
KJ482297.1	𝜸.6.3
JF804996.1	𝜸.36
KC155672.1	𝜸.6.12
EF990696.1	𝜸.4.130
KJ412627.1	𝜸.4.6
JN128989.1	𝜸.4.91
MH238115.1	𝜸.6.2
KX655458.1	𝜸.8.11
KC579482.1	𝜸.44.1
OL988929.1	𝜸.7.12
KJ020888.1	𝜸.49.8
LC553602.1	𝜸.7.18
JX416215.1	𝜸.8.12
ON745825.1	𝜸.19.5
MW331509.1	𝜸.37.1
OQ603395.1	𝜸.33.2
KT695045.1	𝜸.4.16
KC174981.1	𝜸.4.32
NC_011502.2	𝜸.17
KY657950.1	𝜸.8.20
KM026668.1	𝜸.44.1
MN649755.1	𝜸.79
FJ947171.1	𝜸.4.28
HQ392070.1	𝜸.4.25
LC433792.1	𝜸.28
OQ743753.1	𝜸.6.9
KR701625.1	𝜸.7.5
OL988989.1	𝜸.34.5
JQ715661.1	𝜸.5.1
KJ412571.1	𝜸.15.1
KX880443.1	𝜸.7.9
ON059886.1	𝜸.81
MH898994.1	𝜸.4.110
JF712573.1	𝜸.10.2
EU542708.1	𝜸.4.13
MF462317.1	𝜸.4.41
KC020023.2	𝜸.7.9
KC822933.1	𝜸.4.11
DQ205227.1	𝜸.14.5
KP752953.1	𝜸.4.21
KC155678.1	𝜸.4.11
