AB608789.1|1994	1I
GQ398257.1|1977	2I
JQ922550.1|1971	2I
JQ922552.1|1960	2I
JQ922553.1|1980	2I
JX966379.1|1994	2I
MW946575.1|1996	2I
AP001|1969-02-11	2II_A
AP002|1969	2II_A
EU179859.1|2006	2II_D
FJ882602.1|1996	2II_A
GQ398258.1|1975	2II_B
GQ398259.1|1976	2II_B
GQ398263.1|1975	2II
JF327392.1|2009	2II_F
JN851130.1|2005	2II_D.3
JQ922551.1|2005	2II_A
JX470186.1|2010	2II_D.2
KC762673.1|2008-03-11	2II_D.3
KC762675.1|2008-03-08	2II_D.3
KC762680.1|2010-04-05	2II_D.2
KF041236.1|2008	2II_A.1
KF744397.1|2001	2II_C
KF744398.1|2005	2II_C.2
KM279608.1|2010	2II_E.1
KP012546.1|2014	2II_D.1
KR779786.2|2013	2II_E.1
KU509276.1|2008	2II_C.1
KU509277.1|2010	2II_C.1
KU517845.1|2013-04-23	2II_E.2
KU517846.1|2014-05-07	2II_F.2.1
KX380810.1|2012	2II_F.2.2
KX380821.1|2012	2II_E.1
KX380822.1|2012	2II_F.2.2
KX380836.1|2013	2II_F.2.2
KX452015.1|2014-01	2II_E
KY427084.1|2010-09-01	2II_A.2.2
KY586700.1|2009	2II_E.1
KY794785.1|2010-05-11	2II_E.2
KY921904.1|2014-03	2II_F.2.2
KY937187.1|2015	2II_A.1
KY937189.1|2015	2II_A.1
LC436675.1|2017-12	2II_F.1.2
MF043956.1|2016	2II_D.2
MG560144.1|2014	2II_A.2.1
MG599592.1|2001	2II_C.2
MG599621.1|2002	2II_C.2
MG599628.1|2002	2II_C.2
MG599631.1|2002	2II_C.2
MH822949.1|2014-10-28	2II_A.2.2
MH827526.1|2017	2II_E.2
MK564478.1|2016-04-22	2II_D.1
MK564482.1|2017-08-07	2II_D.3
MK578532.1|2016-04-01	2II_F
MK783204.1|2018	2II_D.2
MK783205.1|2018	2II_C.1
MK783209.1|2018	2II_A.2.1
MN018349.1|2015-05-09	2II_D.3
MN018351.1|2015-05-17	2II_E.2
MN018352.1|2015-09-07	2II_D.3
MN018353.1|2016-06-15	2II_F.2.1
MN577553.1|2017-06	2II_A.2.2
MN577554.1|2017-06	2II_A.2.2
MN577557.1|2017-07	2II_A.2.2
MN577562.1|2013-05	2II_B
MN577564.1|2014-06	2II_B
MN923111.1|2019-08-24	2II_D
MT832057.1|2015	2II_C.1
MT921572.1|2000	2II
MT921573.1|2004	2II_E
MW512356.1|2009	2II_E.1
MW512377.1|2012	2II_F.2
MW512406.1|2013	2II_F.2.2
MW512409.1|2013	2II_C
MW512410.1|2014	2II_A.1
MW512414.1|2014	2II_E
MW512415.1|2014	2II_D.1
MW512430.1|2014	2II_F.2
MW512432.1|2014	2II_C.1
MW512463.1|2016	2II_F
MW512465.1|2016	2II_F.2.1
MW512467.1|2016	2II_C
MW730819.1|2017-07	2II_F.2.1
MW730830.1|2017-07	2II_F.2.1
MW730833.1|2017-07	2II_F
MW881533.1|2021-02-02	2II_C.1
MW946478.1|1974	2II_A
MZ857208.1|2013	2II_D.1
MZ857214.1|2014	2II_D.1
OK469352.1|1993	2II
OL414732.1|2020-08	2II_F.1.1
OL414749.1|2020-06	2II_F.1.1
OL414754.1|2020-08	2II_F.1.1
OL414755.1|2020-08	2II_F.1.1
OL414764.1|2020-08	2II_F.1.1
OL469512.1|2017-04-30	2II_B
OM317565.1|2020-06-24	2II_B
OM744110.1|2021-11-16	2II_A
OM744143.1|2021-11-29	2II_F.1.2
ON123649.1|2020	2II_A.2.1
ON634745.1|2022-03-14	2II_F.1.2
ON634755.1|2022-03-06	2II_F.1.2
ON890351.1|2017-08-07	2II_D.2
ON908229.1|2019-09-16	2II_F.2
OP310806.1|2018	2II_A.2.1
OP310807.1|2019	2II_A.2.1
OP684180.1|2018-07-02	2II_F.1
OP684196.1|2019-01-05	2II_F.1
OP684198.1|2019-01-20	2II_E.2
OP684201.1|2019-08-16	2II_F.1
OP684211.1|2019-10-19	2II_A.1
OP921000.1|2022-07-29	2II_F.1
OQ028230.1|2020-09-07	2II_F.2
OQ622206.1|2022-04-02	2II_F.1.2
DQ181801.1|1990	2III_A
EU482449.1|2006	2III_A.2
EU482635.1|2005	2III_D.1.3
EU482639.1|2006	2III_D.1.3
EU482721.1|2006	2III_B
EU482726.1|2006	2III_C
EU529706.1|2006	2III_B
EU596500.1|2007	2III_D.1.1
EU687212.1|1998	2III_C
EU726775.1|1996	2III_D
EU920828.1|1993-02	2III
EU920841.1|2005-10	2III_C
FJ639699.1|2002	2III_A
FJ882594.1|2007	2III_D.1.3
FJ898450.1|1990	2III_B
FJ906956.1|2005	2III_D.1.3
FM210202.1|2004	2III_A.2
FM210204.1|2003	2III_A.2
FM210217.1|1999	2III_A.1
FM210222.1|2004	2III_A.1
FM210227.1|2002	2III_A.2
FM210235.2|2005	2III_A.1
FM210236.2|2004	2III_A.1
FM210237.2|2003	2III_A.1
FM210241.2|2004	2III_A.2
GQ398269.1|1994	2III_B
GQ868558.1|2007	2III_D.2
GQ868603.1|1987	2III
GQ868604.1|2005	2III_D.1.1
HQ705624.1|2009	2III_D.1.3
KC294201.1|2009-02-13	2III_B
KF921931.1|2003	2III_A
KY474310.1|2014	2III_D.3
KY474316.1|2014	2III_D.3
