MN503236.1	AStV-21.2
PV351770.1	AStV-21.3.3
KT946733.1	AStV-21.1
MW149253.1	AStV-21.3.2
OQ802726.1	AStV-21.3.4
KT946734.1	AStV-21.1
KT946732.1	AStV-21.1
PV351774.1	AStV-21.5
MT549859.1	AStV-21.4
PQ678009.1	AStV-21.3.1
MT549858.1	AStV-21.3.5
PV979748.1	AStV-21.5
