PX941304.1	AStV-6.21
ON624266.1	AStV-6.1.7
OR261089.2	AStV-6.15.1
KJ620980.1	AStV-6.1.4
ON624282.1	AStV-6.3.1
OR148664.1	AStV-6.3.2
ON682287.1	AStV-6.3.1
ON624272.1	AStV-6.3.1
ON624284.1	AStV-6.1.1
ON624265.1	AStV-6.3.1
NC_023630.1	AStV-6.1.2
PX940991.1	AStV-6.18.1
MZ603733.1	AStV-6.3.4
PX941191.1	AStV-6.20
ON624275.1	AStV-6.3.3
NC_023631.1	AStV-6.10
PX941755.1	AStV-6.19
MW373715.1	AStV-6.3.1
ON682278.1	AStV-6.3.1
PX409559.1	AStV-6.19
OR367611.1	AStV-6.18.2
ON682289.1	AStV-6.3.1
ON682290.1	AStV-6.3.1
ON682293.1	AStV-6.3.3
PX941611.1	AStV-6.24
ON624269.1	AStV-6.12
ON624255.1	AStV-6.3.3
OQ686755.1	AStV-6.16.1
OQ686753.1	AStV-6.16.1
ON682295.1	AStV-6.16.2
MN150125.1	AStV-6.7
HQ916313.1	AStV-6.10
PX941959.1	AStV-6.1.6
ON624280.1	AStV-6.11
ON624278.1	AStV-6.14
NC_037655.1	AStV-6.1.5
ON682292.1	AStV-6.3.1
MW373712.1	AStV-6.8.4
ON624273.1	AStV-6.8.3
LC047787.1	AStV-6.3.5
KJ620979.1	AStV-6.1.4
PX941334.1	AStV-6.23
MW373713.1	AStV-6.1.3
MW373714.1	AStV-6.9
PX941305.1	AStV-6.22
KM822593.1	AStV-6.2
PX941975.1	AStV-6.25
PX941662.1	AStV-6.8.1
LC047796.1	AStV-6.4
LC047797.1	AStV-6.5
ON624276.1	AStV-6.3.3
OQ686754.1	AStV-6.16.1
PX409558.1	AStV-6.19
HQ916317.1	AStV-6.1.2
PX941335.1	AStV-6.8.2
ON682276.1	AStV-6.3.4
ON624268.1	AStV-6.11
ON624267.1	AStV-6.3.1
NC_024297.1	AStV-6.1.4
MG660832.1	AStV-6.1.5
OQ686756.1	AStV-6.16.1
ON624277.1	AStV-6.13
OQ198051.1	AStV-6.17
ON682272.1	AStV-6.15.2
MN150124.1	AStV-6.6
ON624281.1	AStV-6.12
PX942072.1	AStV-6.26
