PV400865.1	AStV-15.7
PP871762.1	AStV-15.3.3
MK404649.1	AStV-15.2.1
PX942159.1	AStV-15.15
PX492159.1	AStV-15.9
PV400866.1	AStV-15.8
PX941867.1	AStV-15.13
MK404648.1	AStV-15.1
PQ062282.1	AStV-15.5.1
MK404647.1	AStV-15.2.2
PX941885.1	AStV-15.14
PX941741.1	AStV-15.11.1
PQ805454.1	AStV-15.6
PX942056.1	AStV-15.11.2
MZ005893.1	AStV-15.3.1
PX941379.1	AStV-15.10
PP646881.2	AStV-15.4
PX941371.1	AStV-15.5.2
PX941736.1	AStV-15.3.2
PX941828.1	AStV-15.12
