MN503235.1	AStV-49.1.1
MN503237.1	AStV-49.1.2
PV544235.1	AStV-49.1.3
MF175073.1	AStV-49.1.3
MN503238.1	AStV-49.2
MN503236.1	AStV-49.1.2
