KT946730.1	AStV-38.1.3
NC_036583.1	AStV-38.3
KT946728.1	AStV-38.1.1
KT946736.1	AStV-38.3
KT946735.1	AStV-38.2
KT946727.1	AStV-38.1.2
KT946729.1	AStV-38.1.1
