AB012070.1	𝜷.1
MZ065839.1	𝜷.2.1
HQ650882.1	𝜷.2.1
KC769453.2	𝜷.2.1
MT855226.1	𝜷.2.1
DQ236049.1	𝜷.2.1
MT855204.1	𝜷.2.1
LC172274.1	𝜷.2.1
MZ094649.1	𝜷.2.1
KT695076.1	𝜷.2.1
KC579536.1	𝜷.2.1
MK829352.1	𝜷.2.1
KX362683.1	𝜷.2.1
MZ094965.1	𝜷.2.1
MN561340.1	𝜷.2.1
MK852645.1	𝜷.2.1
JX470510.1	𝜷.2.1
JF968561.1	𝜷.2.1
OR205685.1	𝜷.2.1
AB796444.1	𝜷.2.1
GQ996880.1	𝜷.2.1
LC582729.1	𝜷.2.1
MK060166.1	𝜷.2.1
GQ996843.1	𝜷.2.1
AB081775.1	𝜷.2.1
OR205702.1	𝜷.2.1
JN869255.1	𝜷.2.1
AY655737.1	𝜷.2.1
JQ710672.1	𝜷.2.1
MT854786.1	𝜷.2.1
JF968576.1	𝜷.2.1
MK829345.1	𝜷.2.1
KX638526.1	𝜷.2.1
GQ996854.1	𝜷.2.1
OR205743.1	𝜷.2.1
OR205709.1	𝜷.2.1
OK245371.1	𝜷.2.1
KX638530.1	𝜷.2.1
HQ392204.1	𝜷.2.1
MZ095775.1	𝜷.2.1
MZ097096.1	𝜷.2.1
LC668578.1	𝜷.2.1
LC105214.1	𝜷.2.1
DQ236045.1	𝜷.2.1
DQ674896.1	𝜷.2.1
HQ392453.1	𝜷.2.1
JN706204.1	𝜷.2.1
JN706269.1	𝜷.2.1
DQ236031.1	𝜷.2.1
GU358446.1	𝜷.2.1
JQ069470.1	𝜷.2.1
HM773818.1	𝜷.2.1
KX638529.1	𝜷.2.1
FJ948853.1	𝜷.2.1
OR205688.1	𝜷.2.1
MZ096039.1	𝜷.2.1
LC172394.1	𝜷.2.1
JN192117.1	𝜷.2.1
JN849154.1	𝜷.2.1
KJ753209.1	𝜷.2.1
JQ069477.1	𝜷.2.1
KC195763.1	𝜷.2.1
EF179193.1	𝜷.2.1
KX638536.1	𝜷.2.1
JN192124.1	𝜷.2.1
GU288626.1	𝜷.2.1
JQ069465.1	𝜷.2.1
AF260943.1	𝜷.2.1
DQ674866.1	𝜷.2.1
AB971577.1	𝜷.2.1
KJ626698.1	𝜷.2.1
D16320.1	𝜷.2.1
KC769409.1	𝜷.2.1
MF161944.1	𝜷.2.1
MG181683.1	𝜷.2.1
KM043043.1	𝜷.2.1
KT007713.1	𝜷.2.1
GU723346.1	𝜷.2.1
LC468218.1	𝜷.2.1
KC580193.1	𝜷.2.1
U26372.1	𝜷.2.1
JF968588.1	𝜷.2.1
EF690735.1	𝜷.2.1
MZ096201.1	𝜷.2.1
GU723372.1	𝜷.2.1
OR205683.1	𝜷.2.1
KM008633.1	𝜷.2.1
KJ753054.1	𝜷.2.1
MN632816.1	𝜷.2.1
MN632892.1	𝜷.2.1
MT854973.1	𝜷.2.1
DQ674918.1	𝜷.2.1
DQ674871.1	𝜷.2.1
AF480291.1	𝜷.2.1
GU723402.1	𝜷.2.1
OR205735.1	𝜷.2.1
KU973947.1	𝜷.2.1
