ON792972.1	AStV-3.2.13
NC_023675.1	AStV-3.2.3
LC201606.1	AStV-3.10.1
PP871790.1	AStV-3.51
MW784101.1	AStV-3.38
KU764486.1	AStV-3.3
NC_016896.1	AStV-3.1
OP413954.1	AStV-3.43
MK613068.1	AStV-3.27
PX137027.1	AStV-3.41.3
MW784071.1	AStV-3.34
PX137034.1	AStV-3.41.3
OP413957.1	AStV-3.41.1
LC201604.1	AStV-3.2.14
PX137043.1	AStV-3.2.15
MT470220.1	AStV-3.30
KU764484.1	AStV-3.3
PV089623.1	AStV-3.2.11
JF713713.1	AStV-3.2.3
LC201612.1	AStV-3.12.1
PX137036.1	AStV-3.6.2
PV089622.1	AStV-3.52
PX137035.1	AStV-3.6.4
LC201603.1	AStV-3.8
JX556692.1	AStV-3.2.5
PX137040.1	AStV-3.6.9
PX137039.1	AStV-3.53
PX137042.1	AStV-3.6.7
MW784074.1	AStV-3.35
ON792968.1	AStV-3.2.8
PX137050.1	AStV-3.41.2
ON792970.1	AStV-3.2.1
MK460231.1	AStV-3.23.3
KU764485.1	AStV-3.3
LC201602.1	AStV-3.2.6
PP871775.1	AStV-3.50
MT642666.1	AStV-3.32
LC201611.1	AStV-3.12.1
MT451918.1	AStV-3.29.1
LC900386.1	AStV-3.17
LC900395.1	AStV-3.11.1
MW784090.1	AStV-3.36
MK378475.1	AStV-3.23.2
LC900453.1	AStV-3.12.2
PX137046.1	AStV-3.2.2
OP413944.1	AStV-3.42
LC201609.1	AStV-3.11.2
LC900416.1	AStV-3.21
MW784096.1	AStV-3.37
ON792971.1	AStV-3.2.12
LC900376.1	AStV-3.15
KX060808.1	AStV-3.5.2
PP871731.1	AStV-3.47
PX137044.1	AStV-3.54
PX137041.1	AStV-3.6.1
ON792969.1	AStV-3.2.10
PX137053.1	AStV-3.41.2
PP871749.1	AStV-3.10.2
OP413959.1	AStV-3.44
OP413953.1	AStV-3.6.3
OP413942.1	AStV-3.41.3
KY933398.1	AStV-3.7
LC201605.1	AStV-3.9
OL695850.1	AStV-3.40
PP871766.1	AStV-3.48
LC900346.1	AStV-3.14
MK987099.1	AStV-3.28
PX137029.1	AStV-3.6.5
OP413965.1	AStV-3.46
LC900400.1	AStV-3.19
OL695849.1	AStV-3.39
LC900377.1	AStV-3.16
MT451917.1	AStV-3.29.2
MW784073.1	AStV-3.23.1
LC900442.1	AStV-3.23.4
PP871769.1	AStV-3.49
LC900401.1	AStV-3.20
KX060809.1	AStV-3.6.6
OP413951.1	AStV-3.5.1
LC900397.1	AStV-3.11.1
MH425243.1	AStV-3.26
OP413961.1	AStV-3.45
LC900438.1	AStV-3.22
PX137033.1	AStV-3.6.8
PX137038.1	AStV-3.41.4
ON792967.1	AStV-3.2.7
LC900463.1	AStV-3.24
LC900475.1	AStV-3.25
MT549855.1	AStV-3.31
LC900393.1	AStV-3.2.9
PX137047.1	AStV-3.41.2
PX137049.1	AStV-3.41.3
JQ340310.1	AStV-3.1
LC900398.1	AStV-3.18
MW784070.1	AStV-3.33
KX033447.1	AStV-3.4
LC201613.1	AStV-3.13
LC900458.1	AStV-3.2.4
LC201610.1	AStV-3.12.1
