OQ802720.1	AStV-20.3
MZ357118.1	AStV-20.1.5
OQ802722.1	AStV-20.2
KT946731.1	AStV-20.1.1
PQ678008.1	AStV-20.1.3
PV351771.1	AStV-20.1.4
OQ802716.1	AStV-20.1.6
OQ802718.1	AStV-20.2
OQ802721.1	AStV-20.1.7
PV605151.1	AStV-20.1.2
PP871752.1	AStV-20.4
