LC900341.1	AStV-7.1.1
PX137054.1	AStV-7.2.2
ON792973.1	AStV-7.1.8
LC201618.1	AStV-7.1.7
MT642595.1	AStV-7.1.3
PX113252.1	AStV-7.1.13
PX137056.1	AStV-7.2.2
PX137057.1	AStV-7.2.2
LC900471.1	AStV-7.1.6
LC900428.1	AStV-7.2.3
PX137061.1	AStV-7.2.4
MK378498.1	AStV-7.2.5
LC201619.1	AStV-7.1.5
MZ819169.1	AStV-7.1.11
LC201620.1	AStV-7.1.14
ON792974.1	AStV-7.1.8
LC201617.1	AStV-7.1.7
LC900423.1	AStV-7.2.6
PP968017.1	AStV-7.1.9
OP413956.1	AStV-7.2.1
MZ819168.1	AStV-7.1.11
PX137063.1	AStV-7.1.4
MZ819171.1	AStV-7.1.11
LC900454.1	AStV-7.2.3
JF713711.1	AStV-7.1.10
PX137062.1	AStV-7.2.4
LC900472.1	AStV-7.1.6
PX137059.1	AStV-7.2.2
KP747574.1	AStV-7.2.8
MZ819172.1	AStV-7.1.11
PX137060.1	AStV-7.2.4
PP871800.1	AStV-7.2.7
LC900474.1	AStV-7.2.3
LC201616.1	AStV-7.1.2
JX556693.1	AStV-7.1.10
PX137055.1	AStV-7.2.2
NC_023636.1	AStV-7.1.10
PX137058.1	AStV-7.2.2
MZ819167.1	AStV-7.1.11
LC900425.1	AStV-7.2.3
PV089624.1	AStV-7.2.2
LC900443.1	AStV-7.1.12
PX137064.1	AStV-7.2.4
LC900370.1	AStV-7.3
LC900435.1	AStV-7.2.3
MZ819166.1	AStV-7.1.11
MZ819170.1	AStV-7.1.11
LC201615.1	AStV-7.1.2
LC900421.1	AStV-7.1.15
