PX113252.1	AStV-12.1.10
JX556693.1	AStV-12.1.7
LC201620.1	AStV-12.1.11
LC201615.1	AStV-12.1.3
MZ819170.1	AStV-12.1.1
LC900471.1	AStV-12.1.8
LC900443.1	AStV-12.1.5
MT642595.1	AStV-12.1.15
JF713711.1	AStV-12.1.7
LC201617.1	AStV-12.1.2
LC900341.1	AStV-12.1.4
MZ819171.1	AStV-12.1.1
MZ819167.1	AStV-12.1.1
LC900370.1	AStV-12.2
PX137063.1	AStV-12.1.13
NC_023636.1	AStV-12.1.7
LC201616.1	AStV-12.1.3
ON792974.1	AStV-12.1.12
PP968017.1	AStV-12.1.14
MZ819169.1	AStV-12.1.1
LC201619.1	AStV-12.1.9
MZ819168.1	AStV-12.1.1
MZ819166.1	AStV-12.1.1
LC900421.1	AStV-12.1.6
MZ819172.1	AStV-12.1.1
LC900472.1	AStV-12.1.8
LC201618.1	AStV-12.1.2
ON792973.1	AStV-12.1.12
