FJ422134.1	𝜶.7.2
ON315844.1	𝜶.49.4
FJ947387.1	𝜶.1.2
JF490344.1	𝜶.1.1
LC172519.1	𝜶.1.1
LC001911.1	𝜶.2.5
KX362849.1	𝜶.2.1
MN478744.1	𝜶.1.1
LC477390.1	𝜶.2.1
KX646644.1	𝜶.20.1
MZ065576.1	𝜶.1.1
KF636248.1	𝜶.2.3
FJ947752.1	𝜶.1.3
LC172569.1	𝜶.1.1
LC169987.1	𝜶.2.1
OP886876.1	𝜶.212
OM982816.1	𝜶.202.2
LC528255.1	𝜶.100.2
MH238286.1	𝜶.150.1
GU565066.1	𝜶.27.11
OQ201380.1	𝜶.2.3
KY497489.1	𝜶.11.1
KX265705.1	𝜶.20.1
JX435054.2	𝜶.3.12
LC105534.1	𝜶.2.1
MG891952.1	𝜶.2.3
KU248397.1	𝜶.2.1
MH238270.1	𝜶.150.1
KM660346.1	𝜶.20.2
MN551601.1	𝜶.119.2
KM660339.1	𝜶.20.3
KT223456.1	𝜶.1.2
KC174935.1	𝜶.49.1
MN478752.1	𝜶.1.2
KC579963.1	𝜶.1.2
KC579670.1	𝜶.1.2
MZ066225.1	𝜶.20.3
EF554118.1	𝜶.46.4
EU486959.1	𝜶.50.1
JF813104.1	𝜶.11.1
KJ870892.1	𝜶.20.2
OQ201385.1	𝜶.2.3
AB008274.1	𝜶.1.4
MS907253.1	𝜶.20.1
AB938247.1	𝜶.20.1
AB749202.1	𝜶.20.8
KU243630.1	𝜶.109
KF729690.1	𝜶.7.1
KP198637.1	𝜶.46.5
DQ205224.1	𝜶.34.3
OP454313.1	𝜶.41.1
OM982793.1	𝜶.96.2
MF462324.1	𝜶.120.3
JX027619.1	𝜶.3.12
LC553609.1	𝜶.31.25
LC499716.1	𝜶.31.15
LC591061.1	𝜶.27.3
OL989019.1	𝜶.31.24
MW331505.1	𝜶.3.5
AB971771.1	𝜶.26
LC591057.1	𝜶.27.3
FJ969816.1	𝜶.7.1
KM454506.1	𝜶.22.2
JN258884.1	𝜶.1.29
LC591099.1	𝜶.27.3
OQ504191.1	𝜶.69.5
EU839946.1	𝜶.20.1
LC569894.1	𝜶.18.2
HM773956.1	𝜶.1.3
HM988970.1	𝜶.41.1
MG926728.1	𝜶.2.3
MN365915.1	𝜶.50.1
LC591076.1	𝜶.141.2
HQ661137.1	𝜶.35.6
L20876.1	𝜶.35.4
KJ560508.1	𝜶.20.3
