MZ819164.1	AStV-11.50
PX137019.1	AStV-11.99
LC047794.1	AStV-11.18.2
HQ916313.1	AStV-11.52
MW373715.1	AStV-11.16.1
NC_023632.1	AStV-11.1
LC047801.1	AStV-11.18.4
ON624270.1	AStV-11.57.2
HQ916316.1	AStV-11.2
ON624281.1	AStV-11.61
MG660832.1	AStV-11.32
LC047792.1	AStV-11.20
KR868724.1	AStV-11.14.1
KP982872.1	AStV-11.12
KR868723.1	AStV-11.13.2
ON682303.1	AStV-11.79
LC047788.1	AStV-11.17
ON682277.1	AStV-11.70.2
KR868722.1	AStV-11.13.3
ON624280.1	AStV-11.60
MK460230.1	AStV-11.37
NC_023630.1	AStV-11.3
ON624258.1	AStV-11.56.2
PP646881.2	AStV-11.89
ON682273.1	AStV-11.67
LC201589.1	AStV-11.27
LC201594.1	AStV-11.31
OQ686754.1	AStV-11.86
OR702990.1	AStV-11.88
MW373714.1	AStV-11.44
HQ916314.1	AStV-11.1
OR261089.2	AStV-11.66.2
ON682276.1	AStV-11.16.3
MW082586.1	AStV-11.41
ON714998.1	AStV-11.81.1
ON885952.1	AStV-11.82
LC201586.1	AStV-11.24
MW373720.1	AStV-11.47.2
LC201593.1	AStV-11.30
ON624284.1	AStV-11.65
ON624267.1	AStV-11.16.1
MZ603733.1	AStV-11.16.3
LC047787.1	AStV-11.16.2
OM966722.1	AStV-11.53
ON682293.1	AStV-11.55
ON624259.1	AStV-11.57.1
ON682287.1	AStV-11.16.1
ON624268.1	AStV-11.60
OP076765.1	AStV-11.84
LC047799.1	AStV-11.18.1
ON682292.1	AStV-11.16.1
MT758371.1	AStV-11.40
LC047796.1	AStV-11.21
MZ819165.1	AStV-11.51
PV076094.1	AStV-11.92
NC_024297.1	AStV-11.9
LC201588.1	AStV-11.26
KR868721.1	AStV-11.13.3
OQ758025.1	AStV-11.87
PX137014.1	AStV-11.95.3
ON624272.1	AStV-11.16.1
ON682281.1	AStV-11.71
LC201590.1	AStV-11.28
NC_027711.1	AStV-11.14.1
OP076747.1	AStV-11.83
ON682298.1	AStV-11.76
NC_023629.1	AStV-11.2
MW373713.1	AStV-11.43
ON682275.1	AStV-11.69
PX492159.1	AStV-11.101
ON714997.1	AStV-11.80.2
OP076766.1	AStV-11.85
MW373712.1	AStV-11.42
MW373717.1	AStV-11.46
ON682283.1	AStV-11.70.1
LC047795.1	AStV-11.18.3
ON624276.1	AStV-11.55
MW373716.1	AStV-11.45
PX137018.1	AStV-11.97.1
KM822593.1	AStV-11.10
PV539770.1	AStV-11.95.1
ON624283.1	AStV-11.57.2
LC047791.1	AStV-11.19
PQ062282.1	AStV-11.90
MG930777.1	AStV-11.33
OP076749.1	AStV-11.13.1
ON624277.1	AStV-11.63
ON682279.1	AStV-11.47.1
ON624255.1	AStV-11.55
MN150125.1	AStV-11.39
KJ495986.1	AStV-11.7
ON682302.1	AStV-11.78
ON714999.1	AStV-11.81.2
PX137017.1	AStV-11.98
KJ620980.1	AStV-11.9
PV089621.1	AStV-11.94
PX137016.1	AStV-11.97.2
ON624275.1	AStV-11.55
KP759770.1	AStV-11.11
ON682290.1	AStV-11.16.1
ON682297.1	AStV-11.75
PV076095.1	AStV-11.93
OQ686755.1	AStV-11.86
KJ571486.1	AStV-11.8
NC_037655.1	AStV-11.32
PX409559.1	AStV-11.100
NC_023631.1	AStV-11.52
MZ005893.1	AStV-11.49
ON682295.1	AStV-11.74
ON682301.1	AStV-11.77
PX137013.1	AStV-11.96
ON624274.1	AStV-11.62
ON682289.1	AStV-11.16.1
KY214438.1	AStV-11.15
LC201585.1	AStV-11.23
JF713712.1	AStV-11.5
KJ620979.1	AStV-11.9
ON682300.1	AStV-11.56.1
ON682291.1	AStV-11.73
ON624282.1	AStV-11.16.1
MW810337.1	AStV-11.48
OP076748.1	AStV-11.14.2
MN150124.1	AStV-11.38
NC_023674.1	AStV-11.4
OM966723.1	AStV-11.54
OQ686753.1	AStV-11.86
LC201587.1	AStV-11.25
MK404648.1	AStV-11.35
PQ805454.1	AStV-11.91
ON624266.1	AStV-11.59
ON624264.1	AStV-11.58
LC201592.1	AStV-11.29
PX409558.1	AStV-11.100
ON682288.1	AStV-11.72
ON624278.1	AStV-11.64
ON682278.1	AStV-11.16.1
ON682274.1	AStV-11.68.2
OP076750.1	AStV-11.13.1
ON624269.1	AStV-11.61
MK404647.1	AStV-11.34
JX556690.1	AStV-11.6
OQ686756.1	AStV-11.86
ON682272.1	AStV-11.66.1
ON682285.1	AStV-11.68.1
PX137015.1	AStV-11.95.2
JF713710.1	AStV-11.4
ON624265.1	AStV-11.16.1
MK404649.1	AStV-11.36
HQ916317.1	AStV-11.3
PZ146427.1	AStV-11.102
LC047797.1	AStV-11.22
LC047789.1	AStV-11.18.1
ON714996.1	AStV-11.80.1
ON624273.1	AStV-11.58
