LC569891.1	𝝎.33.10
OP082200.1	𝝎.33.31
FJ947738.1	𝝎.3.2
OR192374.1	𝝎.7.1
KM660262.1	𝝎.3.1
JN104619.1	𝝎.10.10
JN706463.1	𝝎.3.1
ON992002.1	𝝎.3.1
OQ743746.1	𝝎.39.6
KF371915.1	𝝎.3.1
JX946159.1	𝝎.50.5
KC579869.1	𝝎.3.2
MZ065974.1	𝝎.7.1
KJ751867.1	𝝎.3.1
KC175269.1	𝝎.2.3
OP487302.1	𝝎.51.1
OR192359.1	𝝎.7.1
KT920606.1	𝝎.7.2
MZ094170.1	𝝎.7.2
OR192378.1	𝝎.7.1
JF490479.1	𝝎.3.2
JX027791.1	𝝎.3.2
OQ133141.1	𝝎.7.1
KX362711.1	𝝎.7.2
FJ031024.1	𝝎.26
KY497497.1	𝝎.3.2
KP882607.1	𝝎.7.2
MW275249.1	𝝎.7.2
MT579407.1	𝝎.3.5
LC433807.1	𝝎.34.1
OP082196.1	𝝎.33.32
LC088125.1	𝝎.66.1
MH568745.1	𝝎.48.3
MZ096217.1	𝝎.34.1
KU739905.1	𝝎.75.3
HM773854.1	𝝎.39.4
KM454481.1	𝝎.11.1
LC576608.1	𝝎.91
MF940587.1	𝝎.35.4
MT579366.1	𝝎.3.5
LC553584.1	𝝎.2.27
MZ096227.1	𝝎.34.1
LC600809.1	𝝎.92
KF500174.1	𝝎.35.4
MZ096508.1	𝝎.34.1
KC579564.1	𝝎.39.3
OL988913.1	𝝎.16.1
KU128892.1	𝝎.2.18
MH910074.1	𝝎.3.18
MH238203.1	𝝎.96.1
LC169929.1	𝝎.51.1
KC579553.1	𝝎.39.3
OP487423.1	𝝎.51.1
FJ495126.1	𝝎.2.7
MT579417.1	𝝎.7.4
OM450944.1	𝝎.45.1
MZ096519.1	𝝎.34.1
OP487467.1	𝝎.51.1
MN556667.1	𝝎.108
JF796734.1	𝝎.34.4
MT579408.1	𝝎.7.4
OL988997.1	𝝎.22.2
MT579381.1	𝝎.3.5
KP752505.1	𝝎.20.4
MT784784.1	𝝎.88.1
LC095880.1	𝝎.33.38
OL457189.1	𝝎.18.5
MK893920.1	𝝎.50.4
LC528252.1	𝝎.43.1
MN632906.1	𝝎.2.5
MT723906.1	𝝎.51.1
MN478973.1	𝝎.3.3
LC328223.1	𝝎.25.3
MF940693.1	𝝎.35.1
MN479012.1	𝝎.3.3
MK302423.1	𝝎.7.10
OM643799.1	𝝎.2.2
ON059841.1	𝝎.118
KJ919364.1	𝝎.2.12
KX363327.1	𝝎.80.2
FN665688.1	𝝎.30.1
AB749800.1	𝝎.6.1
KR052735.1	𝝎.69
KJ412620.1	𝝎.18.3
MH238198.1	𝝎.96.1
MK606439.1	𝝎.36.1
KC610689.1	𝝎.53
KX880439.1	𝝎.21.2
KC175137.1	𝝎.2.3
OQ201412.1	𝝎.2.14
JX195074.1	𝝎.3.23
EF560618.1	𝝎.23.2
KR705278.1	𝝎.7.4
KC175017.1	𝝎.2.3
MH697624.1	𝝎.33.26
OM982769.1	𝝎.117.1
LC001945.1	𝝎.4.1
KY113337.1	𝝎.26
EU708923.1	𝝎.25.4
MN567261.1	𝝎.78.1
JN872865.1	𝝎.11.3
KJ752618.1	𝝎.20.1
MK953584.1	𝝎.3.7
LC277168.1	𝝎.78.2
AB971554.1	𝝎.4.1
EF560621.1	𝝎.23.1
KJ187599.1	𝝎.21.4
KC139781.1	𝝎.3.24
OQ201415.1	𝝎.2.5
KX363367.1	𝝎.10.2
MH238195.1	𝝎.96.4
OK651078.1	𝝎.2.13
KJ412564.1	𝝎.10.9
MH668307.1	𝝎.48.3
MH238205.1	𝝎.96.4
MT579313.1	𝝎.3.5
KC174866.1	𝝎.2.3
DQ457016.1	𝝎.17
EF583017.1	𝝎.22.1
KX268765.1	𝝎.78.1
LC055547.1	𝝎.86
KP882475.1	𝝎.20.7
LC467903.1	𝝎.11.1
KR705146.1	𝝎.8
MT796870.1	𝝎.4.2
AY787653.1	𝝎.4.1
FV537148.1	𝝎.32
MH238202.1	𝝎.96.7
HM988965.1	𝝎.35.1
MN066811.1	𝝎.33.3
OM362096.1	𝝎.33.21
KF541281.1	𝝎.2.38
KU739900.1	𝝎.75.5
OM201224.1	𝝎.35.12
AB748573.1	𝝎.2.2
LC328222.1	𝝎.25.2
LC704653.1	𝝎.94.2
MZ066073.1	𝝎.20.2
MT364857.1	𝝎.18.5
LC000533.1	𝝎.35.17
AB908934.1	𝝎.11.1
KF447839.1	𝝎.33.27
JN258886.1	𝝎.3.10
KC215476.1	𝝎.16.1
OM201222.1	𝝎.35.7
AB971553.1	𝝎.4.1
KC815680.1	𝝎.11.5
AB748575.1	𝝎.2.13
MT784783.1	𝝎.62.1
OM201226.1	𝝎.75.1
