MW037840.1	AStV-31.1.3
OZ453978.1	AStV-31.3.1
NC_024701.1	AStV-31.2
MZ357116.1	AStV-31.1.2
OM451114.1	AStV-31.1.1
PV418557.1	AStV-31.3.2
KM017741.1	AStV-31.2
